"Row", "Encoder Value", "Distance"
1, 5570.452618191983, 1803
2, 5577.590578500326, 3000
3, 5581.681848433158, 1750
4, 5585.482957377845, 1724
5, 5589.313082421347, 1766
6, 5593.114191366034, 1681
7, 5596.915300310721, 1657
8, 5600.687393156593, 1598
9, 5604.488502101281, 1550
10, 5608.318627144783, 1577
11, 5612.119736089469, 1571
12, 5615.949861132971, 1461
13, 5618.7063905203395, 1418
14, 5618.7063905203395, 1419
15, 5620.505388646832, 3000
16, 5623.929288306933, 3000
17, 5627.092043077702, 3000
18, 5630.283813947288, 3000
19, 5633.707713607388, 3000
20, 5636.870468378158, 3000
21, 5640.091255346556, 3000
22, 5643.312042314956, 3000
23, 5647.316263951344, 3000
24, 5650.827211907887, 3000
25, 5654.077014975101, 3000
26, 5657.384850239942, 3000
27, 5661.273007481073, 3000
28, 5664.464778350657, 3000
29, 5667.685565319056, 3000
30, 5668.672112678746, 3000
31, 5668.672112678746, 3000
32, 5670.500126904054, 629
33, 5674.6494290345145, 585
34, 5678.624634572087, 541
35, 5682.628856208476, 504
36, 5686.662093943678, 454
37, 5690.637299481252, 420
38, 5694.409392327125, 383
39, 5698.297549568254, 346
40, 5702.098658512941, 308
41, 5705.928783556444, 273
42, 5709.700876402316, 247
43, 5711.151681343036, 3000
44, 5714.546564904323, 3000
45, 5717.680303576278, 3000
46, 5720.523881260089, 3000
47, 5723.715652129674, 3000
48, 5728.35822793998, 3000
49, 5731.491966611934, 3000
50, 5735.4381560506945, 3000
51, 5740.02269966337, 3000
52, 5742.866277347182, 3000
53, 5746.261160908467, 3000
54, 5749.481947876867, 3000
55, 5752.731750944079, 3000
56, 5755.9235218136655, 3000
57, 5759.115292683249, 3000
58, 5759.84069515361, 3000
59, 5759.84069515361, 3000
60, 5761.639693280103, 1491
61, 5765.614898817676, 1339
62, 5769.445023861177, 1302
63, 5773.21711670705, 1275
64, 5777.018225651737, 1215
65, 5780.819334596425, 1215
66, 5784.649459639926, 1125
67, 5788.479584683427, 1087
68, 5792.280693628114, 1049
69, 5796.081802572802, 1012
70, 5799.911927616304, 958
71, 5803.71303656099, 929
72, 5807.5431616044925, 900
73, 5809.864449509645, 861
74, 5809.864449509645, 863
75, 5811.895576426652, 3000
76, 5815.261443889124, 3000
77, 5819.12058503144, 3000
78, 5822.341371999839, 3000
79, 5825.504126770609, 3000
80, 5828.66688154138, 3000
81, 5831.82963631215, 3000
82, 5835.0214071817345, 3000
83, 5838.213178051319, 3000
84, 5841.346916723274, 3000
85, 5844.538687592859, 3000
86, 5847.672426264815, 3000
87, 5850.8641971344, 3000
88, 5854.026951905171, 3000
89, 5857.189706675939, 3000
90, 5859.88820386568, 3000
91, 5859.88820386568, 3000
92, 5861.3390088064, 3000
93, 5864.733892367685, 3000
94, 5868.012711533714, 3000
95, 5872.13299756536, 3000
96, 5875.324768434944, 3000
97, 5878.516539304529, 3000
98, 5881.650277976484, 3000
99, 5884.8130327472545, 3000
100, 5888.033819715653, 3000
101, 5891.254606684053, 3000
102, 5894.417361454824, 3000
103, 5897.783228917294, 3000
104, 5900.91696758925, 3000
105, 5904.07972236002, 3000
106, 5907.242477130791, 3000
107, 5909.7088455300145, 3000
108, 5909.853926024087, 3000
109, 5909.853926024087, 3000
