"Row", "Encoder Value", "Distance"
1, 556.0935337780859, 695
2, 559.9816910192161, 722
3, 563.8118160627178, 706
4, 567.6419411062193, 733
5, 571.4720661497208, 707
6, 575.3021911932224, 725
7, 579.1033001379095, 723
8, 582.933425181411, 735
9, 587.082727311871, 744
10, 591.0289167506303, 723
11, 594.8880578929463, 708
12, 598.7181829364479, 736
13, 602.519291881135, 739
14, 604.4343544028857, 733
15, 604.4343544028857, 729
16, 606.378433023451, 711
17, 610.5857673515397, 735
18, 614.4158923950413, 718
19, 618.2170013397284, 727
20, 622.04712638323, 729
21, 625.8482353279171, 743
22, 629.6203281737899, 728
23, 633.4504532172915, 739
24, 637.1935299643499, 687
25, 642.6195404426437, 465
26, 646.3336010908877, 684
27, 650.2507744308324, 805
28, 653.587625794489, 3000
29, 654.4000765612925, 3000
30, 654.4000765612925, 3000
31, 657.0985737510322, 3000
32, 660.37739291706, 3000
33, 663.5691637866446, 3000
34, 666.7609346562292, 3000
35, 669.9817216246282, 3000
36, 673.1444763953984, 3000
37, 676.9746014389001, 116
38, 679.034744454723, 576
39, 683.0099499922965, 535
40, 686.8110589369836, 497
41, 690.641183980485, 458
42, 694.4713090239867, 413
43, 698.4755306603746, 376
44, 702.4217200991338, 336
45, 706.222829043821, 295
46, 710.0529540873225, 255
47, 713.941111328453, 218
48, 715.30486797273, 3000
49, 718.670735435201, 3000
50, 721.8625063047857, 3000
51, 725.0832932731848, 3000
52, 728.5362090320989, 3000
53, 731.7279799016836, 3000
54, 734.9197507712682, 3000
55, 738.0825055420385, 3000
56, 741.2452603128088, 3000
57, 745.0753853563103, 250
58, 748.9635425974407, 204
59, 751.0817178108922, 559
60, 755.0569233484658, 514
61, 758.8580322931531, 475
62, 762.6881573366545, 442
63, 766.6053306765994, 394
64, 770.435455720101, 358
65, 774.2655807636024, 319
66, 778.2117702023617, 276
67, 782.1869757399352, 236
68, 783.6667967794699, 3000
69, 787.0036481431266, 3000
70, 790.1664029138967, 3000
71, 793.3871898822958, 3000
72, 796.5789607518806, 3000
73, 800.1769570048667, 3000
74, 803.3977439732658, 3000
75, 806.6765631392935, 3000
76, 810.5647203804241, 3000
77, 813.7564912500086, 3000
78, 816.9482621195932, 3000
79, 820.9524837559813, 3000
80, 824.144254625566, 3000
81, 827.3360254951506, 3000
82, 830.5277963647352, 3000
83, 832.2687622935995, 3000
84, 832.2687622935995, 3000
85, 834.3869375070511, 3000
86, 839.1165616137993, 3000
87, 842.7435739655999, 3000
88, 849.5333410881709, 3000
89, 854.8723032700216, 3000
90, 859.4278307838833, 2179
91, 865.6662920289804, 3000
92, 869.6414975665541, 2182
93, 876.5183129855683, 2100
94, 881.1318726970587, 2102
95, 882.2635005508206, 2053
96, 882.2635005508206, 2100
97, 884.2365952702003, 1099
98, 888.2408169065882, 1084
99, 892.0419258512753, 1022
100, 895.9300830924058, 982
101, 899.7602081359071, 941
102, 903.5903331794088, 911
103, 907.4204582229104, 869
104, 911.2505832664119, 825
105, 915.051692211099, 778
106, 918.8237850569718, 756
107, 922.5958779028446, 493
108, 926.5710834404183, 486
109, 930.6913694720639, 667
110, 932.1711905115984, 695
111, 932.1711905115984, 694
112, 934.8116555037093, 3000
113, 938.496700053139, 3000
114, 941.9786319108676, 3000
115, 945.2574510768952, 3000
116, 948.4202058476658, 3000
117, 951.6409928160647, 3000
118, 954.8037475868348, 3000
119, 958.0535506540484, 3000
120, 961.2163054248185, 3000
121, 964.3790601955889, 3000
122, 967.6288632628023, 3000
123, 970.8206341323869, 3000
124, 974.0704371996004, 3000
125, 977.2041758715561, 3000
126, 981.1213492115008, 3000
127, 982.1659287688195, 3000
128, 982.1659287688195, 3000
