"INDEX", VALUE, DISTANCE
1, 2850.74466021892, 1569
2, 2854.719865756493, 1519
3, 2858.4919586023657, 1474
4, 2862.322083645867, 1434
5, 2866.09417649174, 1423
6, 2869.8952854364275, 1414
7, 2873.6673782823, 1380
8, 2877.4975033258015, 1348
9, 2881.298612270489, 1300
10, 2885.1287373139903, 1279
11, 2888.958862357492, 1242
12, 2892.7019391045505, 1196
13, 2896.5610802468664, 1168
14, 2899.0274486460908, 1147
15, 2899.0274486460908, 1138
16, 2900.188092598667, 3000
17, 2903.495927863509, 3000
18, 2906.687698733094, 3000
19, 2910.5758559742244, 3000
20, 2913.7386107449943, 3000
21, 2916.9013655157646, 3000
22, 2920.847554954524, 3000
23, 2924.1553902193664, 3000
24, 2927.347161088951, 3000
25, 2930.538931958535, 3000
26, 2933.672670630491, 3000
27, 2937.038538092962, 3000
28, 2940.230308962547, 3000
29, 2944.089450104863, 3000
30, 2947.281220974447, 3000
31, 2949.0512030021264, 3000
32, 2949.08021910094, 3000
33, 2949.08021910094, 3000
34, 2951.05331382032, 1323
35, 2955.2026159507805, 1297
36, 2959.0037248954677, 1262
37, 2962.891882136598, 1227
38, 2966.7220071800994, 1187
39, 2970.494100025972, 1151
40, 2974.3242250694734, 1104
41, 2978.2994306070477, 1061
42, 2982.1005395517345, 1048
43, 2985.930664595236, 993
44, 2989.673741342294, 893
45, 2993.5038663857954, 843
46, 2997.3049753304826, 789
47, 2999.0169251605325, 758
48, 2999.0169251605325, 758
49, 3000.525762298882, 3000
50, 3004.5880161328987, 3000
51, 3007.7217548048548, 3000
52, 3010.971557872068, 3000
53, 3014.3954575321677, 3000
54, 3017.674276698196, 3000
55, 3020.808015370151, 3000
56, 3023.9997862397367, 3000
57, 3026.8433639235477, 3000
58, 3030.0351347931323, 3000
59, 3033.1398573662746, 3000
60, 3036.3606443346735, 3000
61, 3039.5524152042576, 3000
62, 3042.7151699750275, 3000
63, 3045.906940844612, 3000
64, 3048.8085507260535, 3000
65, 3049.040679516568, 3000
66, 3049.040679516568, 3000
