"INDEX", " Value", "Distance"
1, 5020.249352473222, 2105
2, 5024.224558010795, 2068
3, 5027.996650856668, 2009
4, 5031.797759801355, 2043
5, 5035.569852647228, 2017
6, 5039.370961591915, 1937
7, 5043.6073120188175, 1911
8, 5047.495469259948, 1857
9, 5051.58673919278, 1844
10, 5055.3588320386525, 1809
11, 5059.217973180968, 1769
12, 5063.019082125656, 1723
13, 5066.820191070343, 1716
14, 5068.532140900393, 1674
15, 5068.532140900393, 1695
16, 5069.924913643484, 3000
17, 5073.261765007141, 3000
18, 5076.395503679097, 3000
19, 5079.587274548681, 3000
20, 5082.779045418266, 3000
21, 5085.912784090222, 3000
22, 5089.017506663363, 3000
23, 5092.238293631762, 3000
24, 5095.372032303718, 3000
25, 5098.563803173302, 3000
26, 5101.755574042887, 3000
27, 5104.889312714843, 3000
28, 5108.023051386799, 3000
29, 5111.185806157569, 3000
30, 5114.812818509369, 3000
31, 5118.004589378955, 3000
32, 5118.555895256428, 3000
33, 5118.555895256428, 3000
34, 5120.296861185293, 751
35, 5124.388131118124, 715
36, 5128.392352754511, 694
37, 5132.193461699198, 655
38, 5135.994570643886, 623
39, 5139.737647390944, 568
40, 5143.509740236817, 533
41, 5147.368881379132, 485
42, 5151.199006422635, 460
43, 5154.971099268507, 420
44, 5158.743192114381, 384
45, 5162.544301059067, 347
46, 5166.345410003754, 312
47, 5168.550633513649, 285
48, 5168.550633513649, 291
49, 5169.682261367411, 3000
50, 5173.019112731068, 3000
51, 5176.1818675018385, 3000
52, 5179.373638371422, 3000
53, 5182.594425339821, 3000
54, 5185.757180110592, 3000
55, 5189.674353450537, 3000
56, 5194.984299533573, 3000
57, 5199.04655336759, 3000
58, 5202.963726707534, 3000
59, 5206.15549757712, 3000
60, 5209.289236249075, 3000
61, 5212.451991019845, 3000
62, 5215.585729691801, 3000
63, 5218.400291276798, 3000
64, 5218.632420067313, 3000
65, 5218.632420067313, 3000
